Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,77,B,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,88,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,88,M,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,10,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,S,HD,,U,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,11,S,LD,NO REB,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,98,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,98,S,LD,NO REB,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,93,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,93,P,MD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,96,S,MD,,C,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,10,M,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,93,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,13,M,MD,,C,2,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,93,D,,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,91,CE,,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,8,M,LD,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,91,B,LD,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,14,UCE,,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,15,D,,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,CE,,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,M,LD,,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,S,LD,NO REB,,3,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,98,CE,,,,3,EV,,,,,
